ID,Status,Summary
VTRU-01,OPEN,"Batch Send origin authority; exact audited protocol head unchanged"
VTRU-02,OPEN / CONDITIONAL,"HOST validator signing scope; no later public repair"
VTRU-03,OPEN / CONDITIONAL,"HOST SSRF exposure; no public code/effective-control closure"
VTRU-04,OPEN,"Irreversible external effects during EVM execution"
VTRU-05,OPEN,"HOST retry/resource amplification"
VTRU-06,OPEN,"RNG/Shuffle not independently replaced for adversarial wagering use"
VTRU-07,OPEN,"STATICCALL/read-only boundary concern remains on unchanged commit"
VTRU-08,OPEN / NOT PUBLICLY CLOSED,"Validator signing-key isolation not publicly closed"
VTRU-09,OPEN,"CI still targets master while default branch is main"
VTRU-10,OPEN,"No public Vitruveo GitHub release / signed binary / SBOM closure"
VTRU-11,NOT PUBLICLY CLOSED,"0xFF compatibility/migration record not located"
SCOPE-01,OPEN,"Notarization route still lacks demonstrated requester wallet authorization"
SCOPE-02,OPEN,"Server-held bridge notary private keys remain in design"
BRIDGE-01,NOT PUBLICLY CLOSED,"Privileged role-holder/timelock/upgrade proof not located"
BRIDGE-02,NOT PUBLICLY CLOSED,"No finding-specific patch and independent closure located"
BRIDGE-03,NOT PUBLICLY CLOSED,"No finding-specific patch and independent closure located"
BRIDGE-04,NOT PUBLICLY CLOSED,"No finding-specific patch and independent closure located"
SCOPE-03,OPEN,"500,000,000 total supply constant remains in current tokenomics source"
SCOPE-04,OPEN,"Address API use still lacks visible pagination"
SCOPE-05,OPEN / NOT PUBLICLY VERIFIED,"Multisig signer/threshold/provenance proof not located"
SCOPE-06,NOT PUBLICLY CLOSED,"WalletFactory/MutexWallet exact audit/control proof not located"
SCOPE-07,NOT PUBLICLY CLOSED,"Complete historical transaction indexing not established"
SCOPE-08,PARTIAL / NOT CLOSED,"CoreStake changes exist; no finding-specific closure trail"
SCOPE-09,OPEN / NOT PUBLICLY VERIFIED,"Trustworthy complete native-holder count method not established"
SCOPE-10,OPEN / INTENTIONAL,"Reflect still sends 1 VTRU to VIBE for explorer indexing"
SCOPE-11,NOT RE-ESTABLISHED,"Prior transformed/capped display finding requires exact current-surface recheck"
SCOPE-12,OPEN,"Current public contract disclosure page remains materially incomplete"
